Rating,MRP,Brand,Operating_System,RAM,Display_inchs,RAM_Type,Processor,Disc Size,Disc Type
4.3,71345,ASUS,Windows 10,8 GB,15.6,DDR4,AMD,1TB,HDD
4.5,101490,ASUS,Windows 10,16 GB,15.6,DDR4,Intel,1TB,SSD
4.3,274990,MSI,Windows 11,32 GB,15.6,DDR5,Intel,1TB,SSD
4.3,199990,ASUS,Windows 11,16 GB,15.6,DDR5,AMD,1TB,SSD
3.9,41090,DELL,Windows 10,8 GB,14,DDR4,Intel,256GB,SSD
4.3,50499,Lenovo,Windows 10,8 GB,15.6,DDR4,Intel,256GB,SSD
4.3,78950,HP,Windows 11,8 GB,16.1,DDR4,AMD,512GB,SSD
4.3,67990,Lenovo,Windows 11,16 GB,14,LPDDR4X,AMD,512GB,SSD
4.0,187990,ASUS,Windows 11,16 GB,15.6,DDR4,AMD,1TB,SSD
4.2,102990,Lenovo,Windows 10,16 GB,14,DDR4,Intel,1TB,SSD
4.3,35990,ASUS,DOS,4 GB,15.6,DDR4,Intel,256GB,SSD
4.4,52575,HP,Windows 10,8 GB,15.6,DDR4,AMD,512GB,SSD
4.0,50990,DELL,Windows 11,8 GB,15.6,DDR4,AMD,512GB,SSD
4.3,60125,Lenovo,Windows 10,16 GB,15.6,DDR4,Intel,512GB,SSD
3.9,26490,Lenovo,Windows 10,4 GB,11.6,DDR4,Intel,256GB,SSD
4.3,80249,HP,Windows 11,8 GB,16.1,DDR4,AMD,512GB,SSD
4.5,129999,acer,Windows 10,8 GB,15.6,DDR4,Intel,1TB,HDD
4.3,76990,ASUS,Windows 10,8 GB,14,DDR4,AMD,1TB,SSD
4.2,36990,ASUS,Windows 10,8 GB,15.6,DDR4,Intel,512GB,SSD
4.6,107790,MSI,Windows 10,16 GB,15.6,DDR4,Intel,512GB,SSD
4.2,75990,DELL,Windows 11,16 GB,14,DDR4,Intel,512GB,SSD
4.5,95990,ASUS,Windows 10,16 GB,14,LPDDR4X,Intel,512GB,SSD
3.7,61999,acer,Windows 11,8 GB,15.6,DDR4,Intel,512GB,SSD
4.3,28990,HP,Windows 11,8 GB,14,DDR4,Intel,256GB,SSD
4.3,54990,Lenovo,Windows 10,8 GB,15.6,DDR4,Intel,512GB,SSD
4.3,56990,ASUS,Windows 11,16 GB,15.6,DDR4,Intel,512GB,SSD
5.0,45990,ASUS,Windows 11,8 GB,14,DDR4,Intel,256GB,SSD
4.3,38216,ASUS,Windows 11,8 GB,14.1,DDR4,Intel,512GB,SSD
4.1,79990,MSI,Windows 11,8 GB,15.6,DDR4,Intel,512GB,SSD
4.6,43990,DELL,Windows 10,4 GB,15.6,DDR4,Intel,1TB,HDD
4.3,108250,HP,Windows 11,16 GB,16.1,DDR4,AMD,1TB,SSD
3.7,28990,ASUS,Windows 10,4 GB,15.6,DDR4,Intel,1TB,HDD
4.3,389990,MSI,Windows 11,32 GB,17.3,DDR5,Intel,2TB,SSD
3.7,67224,DELL,Windows 11,16 GB,15.6,DDR4,Intel,512GB,SSD
4.4,114990,acer,Windows 10,16 GB,15.6,DDR4,AMD,1TB,HDD
4.3,61249,ASUS,Windows 10,4 GB,14,DDR4,Intel,1TB,HDD
4.2,69990,HP,Windows 11,16 GB,15.6,DDR4,Intel,512GB,SSD
4.5,69990,Lenovo,DOS,8 GB,14,DDR4,AMD,512GB,SSD
4.4,37990,Lenovo,Windows 10,8 GB,15.6,DDR4,AMD,256GB,SSD
4.2,36990,Infinix,Windows 11,8 GB,14,LPDDR4X,Intel,512GB,SSD
